title,author,genre,publisher,published,language,pages,price,rating,rating_count,summary,cover,url
ডেড রেকনিং,সাখাওয়াত মজুমদার,স্মৃতি কথা,শোভা প্রকাশ,by শোভা প্রকাশ,বাংলা,349,50,,,"""সমসাময়িক ঘটনাবলীর আবেগপূর্ণ বর্ণনা থেকে প্রকৃত ইতিহাস কেবল ধীরে ধীরে প্রকাশ পায়। শর্মিলা বসুর বইটি বাংলাদেশের স্বাধীনতা সংগ্রামকে ইতিহাসের এই দীর্ঘ যাত্রাপথের শুরুতে প্রতিস্থাপন করেছে।"" — ডেভিড ওয়াশব্রুক, সিনিয়র রিসার্চ ফেলো, ট্রিনিটি কলেজ, কেমব্রিজ।
দুনিয়া কাঁপানো এ বইটিতে দক্ষিণ এশিয়ায় ১৯৭১ সালে সংঘটিত যুদ্ধে জড়িত উভয় পক্ষের স্মৃতিসমূহ ধারাবাহিকভাবে পুনর্গঠন করা হয়েছে।",https://images.boitoi.com.bd/book/f69d803a-628d-4b9a-bb54-4e5fb032dca4_lg.jpg,https://boitoi.com.bd/books/13870/ডেড-রেকনিং
আজো দেহে বুলেটের দাগ,আবদুল হালিম,মুক্তিযুদ্ধ,সাহিত্যদেশ,by সাহিত্যদেশ,বাংলা,32,50,,,"মহান মুক্তিযুদ্ধ চলাকালীন গঠিত ‘ন্যাপ-কমিউনিস্ট পার্টি-ছাত্র ইউনিয়নের যৌথ গেরিলা বাহিনী’-তে প্রায় উনিশ হাজার প্রশিক্ষণপ্রাপ্ত গেরিলা যোদ্ধা অংশগ্রহণ করেন। দেশের প্রতিটি প্রান্তে ছড়িয়ে পড়ে তারা বিভিন্নভাবে গুরুত্বপূর্ণ দায়িত্ব পালন করেন। কেউ সম্মুখযুদ্ধে অংশ নেন, কেউ জরুরি তথ্য আদান-প্রদান, ওষুধ ও বস্ত্র সংগ্রহ ও সরবরাহ করেন, আবার কেউ আহত মুক্তিযোদ্ধাদের চিকিৎসায় সহায়তা করেন।

আমার শ্বশুর আবদুল হালিম ছিলেন এই গেরিলা বাহিনীর একজন সাহসী সদস্য। তিনি ফেনী জেলার দাগনভূঞা উপজেলার রাজাপুর, জয়নারায়ণপুর, পূর্ব জয়নারায়ণপুর, দীঘির জান, দুই সতীনের দীঘি, কোরাইশমুন্সী এবং ফেনী সদরের পাঁচগাছিয়া ইউনিয়নের মাথিয়ারাসহ বিভিন্ন এলাকায় গুরুত্বপূর্ণ ভূমিকা পালন করেন।

রাজাপুর এলাকায় তিনি রাজাকারদের হাতে ধরা পড়েন এবং চরম নির্যাতনের শিকার হন। ইউনিয়ন পরিষদের পুরনো বোর্ড অফিসের পেছনে নদীর পাড়ে একটি গাছের সঙ্গে বেঁধে তাকে গুলি করা হয়। তার চোখের সামনেই মাথিয়ারা এলাকার সহযোদ্ধা আলী আরশাদ গুলিবিদ্ধ হয়ে মৃত্যুযন্ত্রণা ভোগ করতে করতে প্রাণ হারান। আবদুল হালিমকেও পিঠে গুলি করা হয়, কিন্তু অলৌকিকভাবে গুলি তার মেরুদণ্ডের পাশ ঘেঁষে চামড়া ভেদ করে বেরিয়ে যায়, ফলে অল্পের জন্য তিনি প্রাণে বেঁচে যান।

এই বইয়ে মুক্তিযুদ্ধকালীন সেই দুঃসহ স্মৃতিগুলো তুলে ধরার চেষ্টা করা হয়েছে।",https://images.boitoi.com.bd/book/207c8743-c37e-4336-a0cb-c6439d7ac068_lg.jpg,https://boitoi.com.bd/books/13992/আজো-দেহে-বুলেটের-দাগ
সায়েমের ভোরবেলা,Jahidul islam,ছোট গল্প,বইটই,by বইটই,বাংলা,0,,,,চুপ থাকার অসাধারণ ফলাফল,https://images.boitoi.com.bd/book/3adbd0bc-0510-4bdb-85d2-4a9df90e498d_lg.jpg,https://boitoi.com.bd/books/14106/সায়েমের-ভোরবেলা
ভাইরাল লেখক রিহান,জামিন হাসান,ছোট গল্প,বইটই,by বইটই,বাংলা,0,,,,এটা ফানি রিলেটেড গল্প। গল্পটা একটা লেখক ঘিরে লেখা। কীভাবে একজন হাস্যকর লেখক নিজের জীবন পরিচালনা করে এটা কেবল গল্প পড়লেই জানতে পারবেন।,https://images.boitoi.com.bd/book/e35084c1-6207-4e26-b47b-9ddc4c1def0b_lg.jpg,https://boitoi.com.bd/books/14328/ভাইরাল-লেখক-রিহান
স্বাধীনতার ফুল,কামরুল ইসলাম বাচ্চু,উপন্যাস,সাহিত্যদেশ,by সাহিত্যদেশ,বাংলা,107,60,,,": আসসালামু আলাইকুম।
: কী খবর, একাব্বর আলী?
: তিনজন স্যার।
: খোলাসা করে বল।
: মন দিয়ে শুনতে হবে। আপনি কাজ নিয়ে বসেছেন। কী যেন লিখছেন।
: টাকা দিয়েছে কম। ব্যাটারা কি জানে না, মিথ্যে চার্জশিট লিখতে কত এনার্জি খরচ হয়?
: তা তো হয়ই। কল্পনাশক্তি খরচ করে মিথ্যে গল্প বানানো কি সহজ কথা? স্যার ইচ্ছা করলে গল্প, নাটক এসব লিখতে পারতেন।
: ওসব লিখে আর কত টাকা পাওয়া যেত? গুষ্টি না খেয়ে মরত।
: তা ঠিক। সে জন্যই নগদ টাকার খবর নিয়ে এলাম। লাখ লাখ টাকা। এক গাঁয়ে তিনজন।
: লাখ লাখ। তিনটা।
: প্রথমটা সমাজকল্যাণ কর্মকর্তা। চ.জ.খ শেষ পর্যায়ে, এখন লাখ লাখ টাকা তুলবে।",https://images.boitoi.com.bd/book/582f7da8-dcc4-4a9d-b3a8-1743bf24f1d7_lg.jpg,https://boitoi.com.bd/books/14367/স্বাধীনতার-ফুল
Yakuza Prince: Crimson Heart,নিশি,রহস্য,বইটই,by বইটই,বাংলা,0,,,,সাইকো মাফিয়া যখন একটি মেয়েকে নিজের বন্ধিনী করে রেখে দেয়..,https://images.boitoi.com.bd/book/379d3963-9b60-493c-9ed9-8e4c899c83d4_lg.jpg,https://boitoi.com.bd/books/14887/yakuza-prince:-crimson-heart
নবাব জিদান শাহ,Zidan Sarder,রহস্য,বইটই,by বইটই,বাংলা,0,,,,এটি একটি কাল্পনিক গল্প,https://images.boitoi.com.bd/book/71819c5c-a318-41f2-a964-134c6111c4f9_lg.jpg,https://boitoi.com.bd/books/14948/নবাব-জিদান-শাহ
পকপক,Zidan Sarder,ইতিহাস,বইটই,by বইটই,বাংলা,0,,,,পিরোজপুর সরদার বাড়ির ইতিহাস,https://images.boitoi.com.bd/book/34a85a52-669e-461b-a7b4-3ccac55bda24_lg.jpg,https://boitoi.com.bd/books/14980/পকপক
ইলিশের রেসিপি,পিচ্চি লেখিকা,রেসিপি,বইটই,by বইটই,বাংলা,0,,,,"ইলিশ মাছ নিয়ে কথা বলতে গেলে প্রথমেই আসে এর স্বাদ ও জনপ্রিয়তার কথা। এটি বাঙালিদের কাছে একটি অত্যন্ত প্রিয় মাছ এবং বাংলাদেশের জাতীয় মাছ হিসেবেও পরিচিত। ইলিশ মাছ শুধু খেতেই সুস্বাদু নয়, এর রয়েছে অনেক পুষ্টিগুণও। এটি স্বাস্থ্যের জন্য উপকারী, বিশেষ করে হৃদরোগীদের জন্য এটি খুবই উপযোগী। 
ইলিশ মাছের কিছু গুরুত্বপূর্ণ দিক নিচে তুলে ধরা হলো:
স্বাদ ও জনপ্রিয়তা:
ইলিশ মাছের স্বাদ অতুলনীয় এবং এটি বাঙালি সংস্কৃতির একটি অবিচ্ছেদ্য অংশ।
পুষ্টিগুণ:
ইলিশে প্রচুর পরিমাণে ওমেগা-৩ ফ্যাটি অ্যাসিড থাকে যা হৃদরোগের ঝুঁকি কমায় এবং শরীরের জন্য উপকারী। 
অর্থনৈতিক গুরুত্ব:
বাংলাদেশে মোট মৎস্য উৎপাদনের একটি বড় অংশ ইলিশ থেকে আসে এবং এটি দেশের জিডিপিতেও উল্লেখযোগ্য অবদান রাখে। 
ভৌগোলিক নির্দেশক (জিআই) পণ্য:
বাংলাদেশের ইলিশ মাছ ভৌগোলিক নির্দেশক বা জিআই পণ্য হিসেবে স্বীকৃতি পেয়েছে। 
বিভিন্ন রান্না:
ইলিশ মাছ বিভিন্নভাবে রান্না করা যায়, যেমন ভাজা, ভাপা, ঝোল, এবং আরও বিভিন্ন পদ্ধতিতে।
এখানে সেই পদ্ধতি গুলোর প্রনালি দেওয়া হলো",https://images.boitoi.com.bd/book/a080af8b-ec17-4d54-bb44-2433f2f8b09e_lg.jpg,https://boitoi.com.bd/books/15202/ইলিশের-রেসিপি
বাঁশঝাড়ের ভূত,রাশিদুল হাসান বাচ্চু,হরর,প্রতিভা প্রকাশ,by প্রতিভা প্রকাশ,বাংলা,54,60,,,"মা চিন্তা করলো গ্রামে ফিরে যাওয়ার। সেখানে একবেলা খেয়ে হলেও যদি ছেলেটাকে মানুষ করা যায়। সিকুর কানে কথাটি গেলো। সিকু তার বন্ধুদের কাছে তার মা'র কথাটি জানালো। বন্ধুরা বললো, আরে মা'রা ওমন কথা বলেই। আরে তুই ভাবিস না। চল আজ রেলগাড়ির ছাদে উঠে হাওয়া খেতে খেতে চলে যাবো বহু দূরে। চলন্ত ট্রেনের বগীর উপর উঠে ছুটলো তারা তেপান্তরে। ঢাকা ছেড়ে চলে এসেছে তারা সবুজ শ্যামল এক গাঁয়ের পথে। সিকুর মনে হতে থাকলো তার গাঁয়ের কথা। স্কুলের বন্ধুদের কথা। সেই ঝিক ঝিক রেলগাড়ি খেলার কথা। ভাবতে ভাবতে সিকু হঠাৎ ভারসাম্য হারিয়ে ট্রেনের ছাঁদ থেকে ছিটকে পড়লো নীচে।",https://images.boitoi.com.bd/book/8e1212b9-99b3-49ca-8398-04d19f4650e0_lg.jpg,https://boitoi.com.bd/books/15462/বাঁশঝাড়ের-ভূত
